epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.091,1.61334,2.56193,1.42246,0.54919,0.54979,0.5312,0.28622,1.64183,1.71614,1.47403,0.000185237,0.000185237,0.000185237
2,573.454,1.52975,1.65093,1.34364,0.60437,0.62235,0.60452,0.33149,1.56515,1.47327,1.3986,0.000297197,0.000297197,0.000297197
3,841.181,1.48996,1.43514,1.31596,0.6618,0.63769,0.62604,0.35878,1.49693,1.33599,1.36304,0.000335766,0.000335766,0.000335766
4,1113.55,1.4475,1.30815,1.28462,0.65544,0.67589,0.67303,0.39225,1.47628,1.30183,1.33841,0.000225736,0.000225736,0.000225736
5,1365.02,1.39924,1.20464,1.25484,0.67869,0.71131,0.69471,0.41137,1.42195,1.14392,1.302,0.000115648,0.000115648,0.000115648
