epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1489.83,2.05037,2.83535,1.89329,0.5098,0.22259,0.16238,0.05967,2.15979,2.91863,2.05463,0.00333247,0.00333247,0.0700078
2,2112.04,1.9159,2.39944,1.79089,0.37479,0.41318,0.31079,0.13623,1.89525,2.26128,1.8414,0.00653382,0.00653382,0.0398758
3,2735.7,1.82297,2.14925,1.71435,0.40776,0.47569,0.37886,0.17662,1.76722,2.05449,1.76467,0.00960317,0.00960317,0.00961183
