epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,31991.5,1.18955,0.81548,1.26124,0.70379,0.84336,0.79128,0.53257,1.2282,0.79503,1.3194,0.005842,0.005842,0.005842
44,32552.5,1.18835,0.81588,1.26535,0.70504,0.84323,0.79165,0.53277,1.22708,0.7903,1.31818,0.005743,0.005743,0.005743
45,33113.6,1.17755,0.80143,1.25703,0.70492,0.84278,0.79186,0.53321,1.22605,0.78648,1.3174,0.005644,0.005644,0.005644
46,33675,1.17583,0.79777,1.26563,0.70345,0.84345,0.79185,0.53351,1.22503,0.78519,1.31676,0.005545,0.005545,0.005545
47,34236.1,1.17224,0.792,1.25962,0.7042,0.84411,0.79194,0.53395,1.22367,0.784,1.31599,0.005446,0.005446,0.005446
48,34796.8,1.16564,0.78848,1.25449,0.70598,0.84244,0.7916,0.53394,1.2227,0.78274,1.31533,0.005347,0.005347,0.005347
49,35357.3,1.16657,0.78105,1.25578,0.70395,0.84541,0.79111,0.53414,1.22186,0.78116,1.31488,0.005248,0.005248,0.005248
50,35918.6,1.15806,0.77728,1.24705,0.70483,0.84542,0.79177,0.53459,1.22175,0.77979,1.31442,0.005149,0.005149,0.005149
51,36479.4,1.15246,0.76849,1.24196,0.7052,0.84597,0.79177,0.53461,1.22087,0.77808,1.31386,0.00505,0.00505,0.00505
52,37040.2,1.1467,0.76866,1.24243,0.70421,0.84698,0.79167,0.53487,1.22007,0.7754,1.31318,0.004951,0.004951,0.004951
53,37601.5,1.14339,0.76807,1.23557,0.70434,0.84689,0.79186,0.53537,1.21913,0.77179,1.31235,0.004852,0.004852,0.004852
54,38162.2,1.14436,0.76326,1.24164,0.705,0.84671,0.79246,0.53615,1.21766,0.76976,1.31121,0.004753,0.004753,0.004753
55,38723.2,1.14032,0.75308,1.23644,0.70609,0.84655,0.79261,0.53585,1.21667,0.76844,1.31029,0.004654,0.004654,0.004654
56,39283.7,1.12751,0.75273,1.23162,0.70784,0.84689,0.79218,0.5358,1.21565,0.76648,1.30947,0.004555,0.004555,0.004555
57,39843.9,1.12526,0.74998,1.22422,0.70881,0.84683,0.7924,0.53674,1.21523,0.76306,1.30924,0.004456,0.004456,0.004456
58,40404.2,1.12699,0.74585,1.22771,0.70673,0.84758,0.79241,0.53677,1.21441,0.76083,1.30871,0.004357,0.004357,0.004357
59,40965.1,1.11751,0.74229,1.22073,0.70762,0.84631,0.79209,0.5372,1.21334,0.75838,1.30756,0.004258,0.004258,0.004258
60,41525.8,1.1083,0.73777,1.21816,0.70856,0.8467,0.79247,0.53778,1.21281,0.75684,1.30724,0.004159,0.004159,0.004159
61,42086.3,1.10073,0.72881,1.20951,0.70882,0.84698,0.79203,0.53777,1.21219,0.75438,1.30662,0.00406,0.00406,0.00406
62,42646.9,1.10475,0.72535,1.20737,0.70824,0.84876,0.79238,0.53838,1.21156,0.75089,1.30584,0.003961,0.003961,0.003961
63,43207.5,1.10242,0.72671,1.21049,0.70793,0.8491,0.79253,0.53875,1.21114,0.74775,1.30546,0.003862,0.003862,0.003862
64,43768.1,1.09057,0.71774,1.20415,0.7088,0.84675,0.79307,0.53921,1.21037,0.74535,1.30478,0.003763,0.003763,0.003763
