epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24260.8,1.23471,0.85945,1.30181,0.70298,0.8443,0.78961,0.52781,1.23689,0.79057,1.33259,0.005842,0.005842,0.005842
44,24820.7,1.23063,0.85739,1.3042,0.70452,0.84197,0.79024,0.52857,1.23598,0.79032,1.33186,0.005743,0.005743,0.005743
45,25381,1.22485,0.85003,1.29847,0.70335,0.84476,0.78998,0.52825,1.23508,0.78944,1.33128,0.005644,0.005644,0.005644
46,25940.2,1.21995,0.84197,1.29026,0.70219,0.84674,0.79041,0.52888,1.23414,0.78595,1.33035,0.005545,0.005545,0.005545
47,26499.7,1.22204,0.83853,1.29201,0.70139,0.84768,0.79095,0.52951,1.23337,0.78177,1.32958,0.005446,0.005446,0.005446
48,27059.3,1.21461,0.83515,1.28667,0.70129,0.84826,0.79145,0.53024,1.23245,0.77977,1.32871,0.005347,0.005347,0.005347
49,27619,1.21437,0.83018,1.29291,0.70228,0.84931,0.79198,0.53051,1.23147,0.77859,1.32811,0.005248,0.005248,0.005248
50,28178.4,1.20654,0.82218,1.27981,0.70187,0.85083,0.7921,0.53054,1.23048,0.77471,1.32727,0.005149,0.005149,0.005149
51,28738,1.20331,0.81748,1.27868,0.70345,0.85051,0.79209,0.53063,1.22979,0.7724,1.32629,0.00505,0.00505,0.00505
52,29298,1.19717,0.81501,1.27696,0.70331,0.85004,0.79248,0.53139,1.22904,0.76919,1.32581,0.004951,0.004951,0.004951
53,29857.6,1.19509,0.81327,1.28092,0.70397,0.84975,0.79256,0.53195,1.22803,0.7659,1.32521,0.004852,0.004852,0.004852
54,30418,1.19532,0.81093,1.27626,0.70559,0.84946,0.79299,0.53266,1.22712,0.76248,1.32435,0.004753,0.004753,0.004753
55,30978.6,1.19331,0.80172,1.26938,0.70736,0.84926,0.79325,0.53317,1.22645,0.76067,1.32339,0.004654,0.004654,0.004654
56,31539.1,1.1855,0.80151,1.26683,0.70756,0.84936,0.79341,0.53369,1.22563,0.75852,1.32243,0.004555,0.004555,0.004555
57,32099.5,1.18253,0.79971,1.26205,0.70773,0.84971,0.79377,0.53442,1.22477,0.75709,1.32148,0.004456,0.004456,0.004456
58,32659.6,1.18226,0.79608,1.27039,0.70838,0.8498,0.79445,0.53491,1.22375,0.75427,1.32071,0.004357,0.004357,0.004357
59,33219.4,1.17511,0.79016,1.26381,0.70912,0.8507,0.79448,0.53557,1.22245,0.75092,1.31972,0.004258,0.004258,0.004258
60,33779.5,1.16806,0.78625,1.25731,0.70889,0.85173,0.79514,0.53636,1.22157,0.74964,1.31887,0.004159,0.004159,0.004159
61,34340,1.15999,0.77737,1.24804,0.7078,0.85154,0.79561,0.53689,1.22071,0.74682,1.31776,0.00406,0.00406,0.00406
